name		mass		radius			r						v
sun			1.989e30	695.508e6		0 0 0					0 0 0
earth		5.972e24	6.371e6			147.098e9 0 0	 		0 30e3 0 
moon		7.347e22	1.737e6			147.482e9 0 0			0 31.023e3 0
mercury		3.3e23		2.439e6			57.9e9 0 0				0 47.87e3 0
venus		4.87e24		6.52e6			108.2e9 0 0				0 35.02e3 0
mars		6.42e23		3.3935e6		227.9e9 0 0				0 24.077e3 0
jupiter		1.9e27		71.398e6		778.3e9 0 0				0 13.07e3 0
saturn		5.69e26		60.33e6			1.427e12 0 0			0 9.69e3 0
uranus		8.68e25		25.559e6		2.872e12 0 0			0 6.81e3 0
neptune		1.02e26		24.3e6			4.4971e12 0 0			0 5.43e3 0
